Step Temp v_strain v_sigmaxx v_sigmayy PotEng KinEng Lx Ly Volume
    5800    254.56255       0.0029   -0.5578546     0.268461   -105.57021    1.8097636    8.3813549     8.425105    582.21074
    5900    265.86119      0.00295   0.79054358    0.1747122   -105.54083    1.8900891    8.3905868    8.4255251     582.8811
    6000    328.73874        0.003  -0.73761489    0.3934513   -105.67214    2.3371049     8.346621    8.4259451    579.85576
    6100     312.7834      0.00305 0.0090823866   0.63155677   -105.49575    2.2236735    8.4519259    8.4263652    587.20077
    6200     305.5941       0.0031   0.88922052   0.68472132   -105.21844    2.1725626    8.3601185    8.4267853    580.85138
    6300    380.61237      0.00315   -1.1479841  -0.43180245   -105.76287    2.7058905    8.4127363    8.4272053    584.53633
    6400     304.2414       0.0032   0.89097371   0.96612008   -105.75321    2.1629458    8.4526972    8.4276254    587.34218
    6500    283.37228      0.00325   0.29103004   0.71330424   -105.71085    2.0145808    8.2899506    8.4280454    576.06232
    6600    309.18413       0.0033   -1.7287949   0.53485429   -105.66447    2.1980852    8.4098166    8.4284655    584.42084
    6700    318.96615      0.00335    1.9676453   0.53756667   -105.42706    2.2676286     8.451607    8.4288855    587.35424
    6800    302.98601       0.0034  -0.84967738   0.67211695   -105.12422    2.1540209    8.3318313    8.4293056    579.05915
    6900    316.49602      0.00345  -0.45274051   0.34539694   -105.26988    2.2500677    8.4210557    8.4297257    585.28938
    7000    321.81442       0.0035   0.96352518    0.9036227    -105.7276    2.2878778    8.4021582    8.4301457    584.00504
    7100    301.13787      0.00355  -0.56779758   0.21093351   -105.90824    2.1408819    8.3315784    8.4305658    579.12814
    7200    283.28407       0.0036  -0.20900532   0.91534604    -105.8054    2.0139537    8.4115615    8.4309858    584.71689
    7300    289.58783      0.00365   0.63709194   0.57441417   -105.45116    2.0587691    8.3778027    8.4314059    582.39922
    7400    281.23721       0.0037    -0.847317   0.53854101   -104.83926     1.999402    8.3840083     8.431826    582.85965
    7500    333.22789      0.00375    0.5653816   0.95513965   -105.13142    2.3690197     8.418791     8.432246    585.30692
    7600     299.1285       0.0038   0.22674626 -0.0025345166   -105.22062    2.1265967    8.3648965    8.4326661    581.58893
    7700    319.67538      0.00385  -0.77081307   0.50266549   -105.74539    2.2726707    8.3935683    8.4330861    583.61148
    7800    283.44925       0.0039   0.97251665    1.1442671   -105.75585     2.015128    8.4028391    8.4335062    584.28519
    7900    306.95576      0.00395  -0.47584985   0.47630494   -105.76878    2.1822431    8.3477218    8.4339262    580.48156
    8000    370.42271        0.004  -0.20784772   0.54324925   -105.80886    2.6334491    8.4201834    8.4343463    585.54953
    8100    296.17981      0.00405   0.81004511   0.50256181   -105.31877    2.1056335    8.3921324    8.4347664     583.6279
    8200    324.40073       0.0041   -1.3853853   0.40093512     -105.545    2.3062647    8.4059544    8.4351864    584.61826
    8300    308.87226      0.00415    1.1624532    1.0660646   -105.70004     2.195868    8.4706555    8.4356065    589.14744
    8400    251.97863       0.0042  0.041628296   0.95716509   -105.61492    1.7913937    8.3108224    8.4360265    578.05957
    8500    287.07056      0.00425    -0.971131   0.94904177   -105.70149     2.040873    8.4411594    8.4364466     587.1544
    8600    283.36794       0.0043    1.0214703   0.84693094   -105.55205      2.01455    8.4019616    8.4368667    584.45697
    8700    276.31804      0.00435  -0.47208254   0.53492347   -105.48327      1.96443    8.3698109    8.4372867    582.24948
    8800    267.29608       0.0044  -0.28755429   0.39230308   -105.38845    1.9002902    8.4164778    8.4377068    585.52504
    8900    328.84492      0.00445   0.75922952   0.57905426   -105.44778    2.3378598    8.4206584    8.4381268    585.84504
    9000    353.58579       0.0045   -1.1802176   0.45744814   -105.37697    2.5137503    8.4039271    8.4385469    584.71011
    9100    294.18049      0.00455    1.4028503    0.2254473   -105.43766    2.0914197    8.4586338    8.4389669    588.54567
    9200    276.51076       0.0046  -0.79142911    0.9379755   -105.44997    1.9658001    8.3452145     8.439387    580.68294
    9300    319.54846      0.00465  -0.20714694    0.8673211   -105.82369    2.2717684     8.426317    8.4398071    586.35546
    9400    302.21277       0.0047   0.60375343    1.6105346   -105.81229    2.1485237    8.4444394    8.4402271    587.64578
    9500    343.65858      0.00475   0.14744398   0.81907255   -105.79807    2.4431747    8.3258357    8.4406472    579.42102
    9600    386.13915       0.0048   -1.1484846   0.80604349   -105.45379    2.7451821    8.4409713    8.4410672    587.46289
    9700    316.58984      0.00485    1.1306996    0.8351825   -105.15101    2.2507347    8.4533358    8.4414873     588.3527
    9800    333.12326       0.0049  -0.24914559    1.1514849   -105.64368    2.3682759    8.3966938    8.4419073    584.43949
    9900    284.99549      0.00495   -0.3756816   0.65309445   -105.64098    2.0261207    8.4149897    8.4423274     585.7421
   10000     307.7491        0.005   0.69732999   0.99871529   -105.86956    2.1878831    8.4014429    8.4427475    584.82825
   10100    280.67082      0.00505  -0.82871227   0.69930498   -105.61985    1.9953753    8.3856738    8.4431675    583.75959
   10200    362.83649       0.0051   0.63721371    1.0436635   -105.47717    2.5795164    8.4258302    8.4435876    586.58422
   10300    344.27908      0.00515  -0.29042312   0.44672063   -105.29105     2.447586    8.4181734    8.4440076    586.08033
   10400    280.62834       0.0052  0.075154332   0.59604024   -105.31822    1.9950733     8.409253    8.4444277    585.48841
   10500    270.19404      0.00525  0.058972036   0.52333076   -105.36634    1.9208927     8.405771    8.4448478    585.27509
   10600    298.18057       0.0053   0.10856176   0.53710916    -105.5974    2.1198575    8.3820634    8.4452678    583.65341
   10700    279.73267      0.00535 -0.043819061   0.73522355   -105.64931    1.9887057    8.4205741    8.4456879    586.36412
   10800    288.40713       0.0054  0.022677922   0.74415583    -105.7356    2.0503751    8.3804255    8.4461079    583.59741
   10900    300.19353      0.00545  -0.15587552   0.43418823   -105.62737    2.1341683    8.3767745     8.446528    583.37217
   11000    327.53487       0.0055  -0.17660072   0.29243899   -105.52833    2.3285462    8.4208622     8.446948    586.47168
   11100    346.69545      0.00555    0.5595256   0.70253672   -105.53885    2.4647648    8.3805623    8.4473681    583.69402
   11200    289.09861       0.0056  -0.44494672   0.46357055   -105.48663     2.055291    8.4180738    8.4477882    586.33579
   11300    305.70502      0.00565   0.37220681   0.82863861   -105.97722    2.1733512    8.3895631    8.4482082    584.37902
   11400    303.81608       0.0057  -0.25425689   0.77852517   -106.03923     2.159922    8.3937868    8.4486283    584.70229
   11500    282.47302      0.00575 -0.070188738   0.74641137    -105.6013    2.0081877    8.3881347    8.4490483    584.33762
   11600    323.49484       0.0058   0.34889573   0.33164877   -105.15521    2.2998245    8.3994379    8.4494684    585.15412
   11700    399.33128      0.00585  -0.34017597   -0.1524715   -105.89612    2.8389691    8.3799933    8.4498885    583.82852
   11800    313.31645       0.0059 -0.077200378   0.33328789   -105.78481    2.2274631    8.4076738    8.4503085    585.78612
   11900    264.57085      0.00595   0.47069776    1.1334174   -105.58902    1.8809157    8.4132887    8.4507286    586.20647
   12000    231.15224        0.006  -0.57268757    1.2171839   -105.34526    1.6433325    8.3849749    8.4511486    584.26271
   12100    332.24084      0.00605   0.51635821    1.0673343   -105.56699    2.3620025    8.4073498    8.4515687     585.8509
   12200    319.40766       0.0061  -0.15861263   0.39764091   -105.25969    2.2707674    8.3413253    8.4519887    581.27899
   12300     299.1318      0.00615  -0.37904948   0.47064591   -105.32748    2.1266201    8.4437418    8.4524088     588.4453
